Hour,Load [kW]
0.0,6209.626378685601
1.0,5821.524730017751
2.0,5627.473905683824
3.0,5530.448493516861
4.0,5433.423081349901
5.0,4948.296020515088
6.0,5045.32143268205
7.0,5336.397669182938
8.0,6112.600966518637
9.0,6791.778851687375
10.0,6694.753439520413
11.0,6500.702615186488
12.0,6597.72802735345
13.0,6791.778851687375
14.0,7082.855088188262
15.0,6985.829676021299
16.0,6209.626378685601
17.0,6888.8042638543375
18.0,9023.363331527513
19.0,9702.541216696247
20.0,9120.388743694471
21.0,8053.109209857886
22.0,6888.8042638543375
23.0,6403.677203019525
24.0,6209.626378685601
25.0,5821.524730017751
26.0,5627.473905683824
27.0,5530.448493516861
28.0,5433.423081349901
29.0,4948.296020515088
30.0,5045.32143268205
31.0,5336.397669182938
32.0,6112.600966518637
33.0,6791.778851687375
34.0,6694.753439520413
35.0,6500.702615186488
36.0,6597.72802735345
37.0,6791.778851687375
38.0,7082.855088188262
39.0,6985.829676021299
40.0,6209.626378685601
41.0,6888.8042638543375
42.0,9023.363331527513
43.0,9702.541216696247
44.0,9120.388743694471
45.0,8053.109209857886
46.0,6888.8042638543375
47.0,6403.677203019525
48.0,6209.626378685601
49.0,5821.524730017751
50.0,5627.473905683824
51.0,5530.448493516861
52.0,5433.423081349901
53.0,4948.296020515088
54.0,5045.32143268205
55.0,5336.397669182938
56.0,6112.600966518637
57.0,6791.778851687375
58.0,6694.753439520413
59.0,6500.702615186488
60.0,6597.72802735345
61.0,6791.778851687375
62.0,7082.855088188262
63.0,6985.829676021299
64.0,6209.626378685601
65.0,6888.8042638543375
66.0,9023.363331527513
67.0,9702.541216696247
68.0,9120.388743694471
69.0,8053.109209857886
70.0,6888.8042638543375
71.0,6403.677203019525
72.0,6209.626378685601
73.0,5821.524730017751
74.0,5627.473905683824
75.0,5530.448493516861
76.0,5433.423081349901
77.0,4948.296020515088
78.0,5045.32143268205
79.0,5336.397669182938
80.0,6112.600966518637
81.0,6791.778851687375
82.0,6694.753439520413
83.0,6500.702615186488
84.0,6597.72802735345
85.0,6791.778851687375
86.0,7082.855088188262
87.0,6985.829676021299
88.0,6209.626378685601
89.0,6888.8042638543375
90.0,9023.363331527513
91.0,9702.541216696247
92.0,9120.388743694471
93.0,8053.109209857886
94.0,6888.8042638543375
95.0,6403.677203019525
96.0,6209.626378685601
97.0,5821.524730017751
98.0,5627.473905683824
99.0,5530.448493516861
100.0,5433.423081349901
101.0,4948.296020515088
102.0,5045.32143268205
103.0,5336.397669182938
104.0,6112.600966518637
105.0,6791.778851687375
106.0,6694.753439520413
107.0,6500.702615186488
108.0,6597.72802735345
109.0,6791.778851687375
110.0,7082.855088188262
111.0,6985.829676021299
112.0,6209.626378685601
113.0,6888.8042638543375
114.0,9023.363331527513
115.0,9702.541216696247
116.0,9120.388743694471
117.0,8053.109209857886
118.0,6888.8042638543375
119.0,6403.677203019525
120.0,6209.626378685601
121.0,5821.524730017751
122.0,5627.473905683824
123.0,5530.448493516861
124.0,5433.423081349901
125.0,4948.296020515088
126.0,5045.32143268205
127.0,5336.397669182938
128.0,6112.600966518637
129.0,6791.778851687375
130.0,6694.753439520413
131.0,6500.702615186488
132.0,6597.72802735345
133.0,6791.778851687375
134.0,7082.855088188262
135.0,6985.829676021299
136.0,6209.626378685601
137.0,6888.8042638543375
138.0,9023.363331527513
139.0,9702.541216696247
140.0,9120.388743694471
141.0,8053.109209857886
142.0,6888.8042638543375
143.0,6403.677203019525
144.0,6209.626378685601
145.0,5821.524730017751
146.0,5627.473905683824
147.0,5530.448493516861
148.0,5433.423081349901
149.0,4948.296020515088
150.0,5045.32143268205
151.0,5336.397669182938
152.0,6112.600966518637
153.0,6791.778851687375
154.0,6694.753439520413
155.0,6500.702615186488
156.0,6597.72802735345
157.0,6791.778851687375
158.0,7082.855088188262
159.0,6985.829676021299
160.0,6209.626378685601
161.0,6888.8042638543375
162.0,9023.363331527513
163.0,9702.541216696247
164.0,9120.388743694471
165.0,8053.109209857886
166.0,6888.8042638543375
167.0,6403.677203019525
168.0,6209.626378685601
169.0,5821.524730017751
170.0,5627.473905683824
171.0,5530.448493516861
172.0,5433.423081349901
173.0,4948.296020515088
174.0,5045.32143268205
175.0,5336.397669182938
176.0,6112.600966518637
177.0,6791.778851687375
178.0,6694.753439520413
179.0,6500.702615186488
180.0,6597.72802735345
181.0,6791.778851687375
182.0,7082.855088188262
183.0,6985.829676021299
184.0,6209.626378685601
185.0,6888.8042638543375
186.0,9023.363331527513
187.0,9702.541216696247
188.0,9120.388743694471
189.0,8053.109209857886
190.0,6888.8042638543375
191.0,6403.677203019525
192.0,6209.626378685601
193.0,5821.524730017751
194.0,5627.473905683824
195.0,5530.448493516861
196.0,5433.423081349901
197.0,4948.296020515088
198.0,5045.32143268205
199.0,5336.397669182938
200.0,6112.600966518637
201.0,6791.778851687375
202.0,6694.753439520413
203.0,6500.702615186488
204.0,6597.72802735345
205.0,6791.778851687375
206.0,7082.855088188262
207.0,6985.829676021299
208.0,6209.626378685601
209.0,6888.8042638543375
210.0,9023.363331527513
211.0,9702.541216696247
212.0,9120.388743694471
213.0,8053.109209857886
214.0,6888.8042638543375
215.0,6403.677203019525
216.0,6209.626378685601
217.0,5821.524730017751
218.0,5627.473905683824
219.0,5530.448493516861
220.0,5433.423081349901
221.0,4948.296020515088
222.0,5045.32143268205
223.0,5336.397669182938
224.0,6112.600966518637
225.0,6791.778851687375
226.0,6694.753439520413
227.0,6500.702615186488
228.0,6597.72802735345
229.0,6791.778851687375
230.0,7082.855088188262
231.0,6985.829676021299
232.0,6209.626378685601
233.0,6888.8042638543375
234.0,9023.363331527513
235.0,9702.541216696247
236.0,9120.388743694471
237.0,8053.109209857886
238.0,6888.8042638543375
239.0,6403.677203019525
