Hour,Temperature/K
0.0,299.35999999999996
1.0,299.35999999999996
2.0,299.35999999999996
3.0,299.35999999999996
4.0,299.35999999999996
5.0,299.35999999999996
6.0,299.35999999999996
7.0,299.35999999999996
8.0,299.35999999999996
9.0,299.35999999999996
10.0,299.35999999999996
11.0,299.35999999999996
12.0,299.35999999999996
13.0,299.35999999999996
14.0,299.35999999999996
15.0,299.35999999999996
16.0,299.35999999999996
17.0,299.35999999999996
18.0,299.35999999999996
19.0,299.35999999999996
20.0,299.35999999999996
21.0,299.35999999999996
22.0,299.35999999999996
23.0,299.35999999999996
24.0,299.13
25.0,299.13
26.0,299.13
27.0,299.13
28.0,299.13
29.0,299.13
30.0,299.13
31.0,299.13
32.0,299.13
33.0,299.13
34.0,299.13
35.0,299.13
36.0,299.13
37.0,299.13
38.0,299.13
39.0,299.13
40.0,299.13
41.0,299.13
42.0,299.13
43.0,299.13
44.0,299.13
45.0,299.13
46.0,299.13
47.0,299.13
48.0,299.10999999999996
49.0,299.10999999999996
50.0,299.10999999999996
51.0,299.10999999999996
52.0,299.10999999999996
53.0,299.10999999999996
54.0,299.10999999999996
55.0,299.10999999999996
56.0,299.10999999999996
57.0,299.10999999999996
58.0,299.10999999999996
59.0,299.10999999999996
60.0,299.10999999999996
61.0,299.10999999999996
62.0,299.10999999999996
63.0,299.10999999999996
64.0,299.10999999999996
65.0,299.10999999999996
66.0,299.10999999999996
67.0,299.10999999999996
68.0,299.10999999999996
69.0,299.10999999999996
70.0,299.10999999999996
71.0,299.10999999999996
72.0,299.0
73.0,299.0
74.0,299.0
75.0,299.0
76.0,299.0
77.0,299.0
78.0,299.0
79.0,299.0
80.0,299.0
81.0,299.0
82.0,299.0
83.0,299.0
84.0,299.0
85.0,299.0
86.0,299.0
87.0,299.0
88.0,299.0
89.0,299.0
90.0,299.0
91.0,299.0
92.0,299.0
93.0,299.0
94.0,299.0
95.0,299.0
96.0,298.65999999999997
97.0,298.65999999999997
98.0,298.65999999999997
99.0,298.65999999999997
